name,year_period,year,recclass,continent,country,mass_cleaned,mass_bin,recclass_clean,fall,reclat,reclong
Yucca 015,21st Century,2011.0,H-metal,North America,United States of America,3.0,1-10g,OTHER,Found,34.8197,-114.2761
Yucca 016,21st Century,2011.0,H5,North America,United States of America,25.9,10-100g,H5,Found,34.82658,-114.27763
Yucca 017,21st Century,2011.0,H5,North America,United States of America,200.0,100-1kg,H5,Found,34.81923,-114.27735
Yudoma,20th Century,1946.0,"Iron, IVA",Europe,Russia,7600.0,1-10kg,IRON,Found,60.0,140.0
Zacatecas (1792),Ancient,1792.0,"Iron, ungrouped",North America,Mexico,50369.99999999971,>10kg,IRON,Found,22.81667,-102.56667
Zaffra,20th Century,1919.0,"Iron, IAB-MG",North America,United States of America,3000.0,1-10kg,IRON,Found,35.0,-94.75
Zag (b),20th Century,1999.0,Winonaite,Africa,Morocco,300.0,100-1kg,OTHER,Found,27.33333,-9.33333
Zagora,20th Century,1987.0,"Iron, IAB-ung",Africa,Morocco,50000.0,>10kg,IRON,Found,30.36667,-5.85
Zakłodzie,20th Century,1998.0,Enst achon-ung,Europe,Poland,8680.0,1-10kg,OTHER,Found,50.76278,22.86611
Zapaliname,20th Century,1998.0,"Iron, IAB-MG",North America,Mexico,50369.99999999971,>10kg,IRON,Found,25.00944,-100.75
Zapata County,20th Century,1930.0,Iron,North America,United States of America,32.6,10-100g,IRON,Found,27.0,-99.0
Zapotitlán Salinas,20th Century,1984.0,L4,North America,Mexico,27.7,10-100g,L4,Found,18.33333,-97.5
Zegdou,20th Century,1998.0,H3,Africa,Algeria,6700.0,1-10kg,H3,Found,29.75,-4.5
Zelfana,21st Century,2002.0,L5,Africa,Algeria,1058.0,1-10kg,L5,Found,32.15833,4.63333
Zenda,20th Century,1955.0,"Iron, IAB complex",North America,United States of America,3700.0,1-10kg,IRON,Found,42.51333,-88.48944
Zerga,20th Century,1973.0,LL6,Africa,Mauritania,76.0,10-100g,L6,Found,20.25,-12.68333
Zerhamra,20th Century,1967.0,"Iron, IIIAB-an",Africa,Algeria,50369.99999999971,>10kg,IRON,Found,29.85861,-2.645
Zerkaly,20th Century,1956.0,H5,Europe,Russia,16000.0,>10kg,H5,Found,52.13333,81.96667
Zhaoping,20th Century,1983.0,"Iron, IAB complex",Asia,China,50369.99999999971,>10kg,IRON,Found,24.23333,111.18333
Zhigansk,20th Century,1966.0,"Iron, IIIAB",Europe,Russia,50369.99999999971,>10kg,IRON,Found,68.0,128.3
